VWAP,Volume,EMA
19063.92,68805.0,19063.92
18954.48,70922.0,19047.503999999997
18925.21,55578.0,19029.1599
18948.58,69134.0,19017.072914999997
18978.67,39873.0,19011.312477749998
18990.51,23267.0,19008.1921060875
19011.05,34734.0,19008.620790174373
18985.71,26383.0,19005.184171648216
19015.17,32489.0,19006.682045900983
19151.34,38589.0,19028.380739015836
19122.27,31998.0,19042.46412816346
19588.54,174007.0,19124.37550893894
19066.81,188435.0,19115.740682598098
18862.61,65311.0,19077.771080208382
18846.5,44954.0,19043.080418177124
18750.51,42080.0,18999.194855450554
18707.31,49268.0,18955.41212713297
18721.57,38875.0,18920.335808063024
18628.1,51625.0,18876.50043685357
18628.48,109182.0,18839.297371325534
18731.14,63926.0,18823.073765626705
18578.06,39070.0,18786.321700782697
18470.56,46018.0,18738.95744566529
18491.81,52949.0,18701.885328815497
18483.75,45746.0,18669.16502949317
18515.03,56615.0,18646.044775069196
18484.52,23634.0,18621.816058808814
18341.66,36476.0,18579.792649987492
18301.33,43879.0,18538.02325248937
18060.45,77958.0,18466.38726461596
18385.38,83043.0,18454.236174923568
18783.84,133430.0,18503.676748685033
18859.23,75645.0,18557.009736382275
19034.85,97762.0,18628.685775924932
18841.77,28248.0,18660.648409536192
19048.22,56685.0,18718.784148105762
18991.5,26299.0,18759.691525889895
18985.78,35854.0,18793.60479700641
18938.48,35481.0,18815.33607745545
19007.64,48606.0,18844.18166583713
19593.33,148444.0,18956.553915961562
19653.1,63740.0,19061.035828567325
19747.95,47151.0,19164.072954282226
19698.67,40978.0,19244.262511139892
19605.75,22414.0,19298.485634468907
19591.59,44126.0,19342.45128929857
19462.81,56882.0,19360.505095903784
19531.51,46151.0,19386.155831518216
20137.0,194351.0,19498.782456790483
20486.45,139860.0,19646.93258827191
20541.55,89874.0,19781.12520003112
20499.47,52213.0,19888.876920026454
20483.09,44305.0,19978.008882022485
20542.34,57868.0,20062.65854971911
20646.18,168464.0,20150.186767261242
20835.11,124894.0,20252.925252172055
21105.65,102232.0,20380.833964346246
21546.92,166516.0,20555.74686969431
21897.41,89170.0,20756.996339240162
21849.85,57013.0,20920.92438835414
21759.24,63534.0,21046.671730101018
21944.58,55076.0,21181.357970585865
21997.04,75656.0,21303.710274997986
21999.05,43287.0,21408.011233748286
22057.76,60441.0,21505.473548686045
22030.57,68937.0,21584.238016383137
21909.67,66961.0,21633.052813925664
21813.66,72570.0,21660.14389183681
21832.29,77257.0,21685.96580806129
21750.14,66788.0,21695.591936852095
21771.05,51175.0,21706.910646324282
21630.0,73220.0,21695.37404937564
21556.18,51095.0,21674.494941969293
21489.99,55459.0,21646.8192006739
21375.3,44364.0,21606.091320572814
21486.89,81502.0,21588.211122486893
21507.07,63159.0,21576.039954113858
21675.61,53437.0,21590.97546099678
21574.73,46981.0,21588.538641847263
21659.79,424794.0,21599.226345570172
21828.21,59866.0,21633.573893734647
21987.28,58248.0,21686.62980967445
21895.96,81509.0,21718.02933822328
21736.48,78523.0,21720.796937489788
22264.28,156812.0,21802.319396866318
22250.25,72929.0,21869.50898733637
22117.54,70915.0,21906.713639235913
22232.89,62352.0,21955.640093350525
22526.07,83347.0,22041.20457934795
22645.61,72377.0,22131.865392445754
22920.09,73757.0,22250.09908357889
22992.26,73541.0,22361.423221042056
22925.78,43331.0,22446.076737885745
22870.22,68877.0,22509.698227202884
